Day-Month,Hour,Average Day-ahead Price (EUR/MWh)
05-22,24,121.15333333333335
05-23,1,114.12333333333333
05-23,2,104.76666666666665
05-23,3,100.41333333333334
05-23,4,97.56666666666666
05-23,5,98.02666666666666
05-23,6,107.76666666666667
05-23,7,131.50666666666666
05-23,8,146.70333333333335
05-23,9,142.31333333333333
05-23,10,128.70666666666668
05-23,11,116.60666666666667
05-23,12,96.23333333333333
05-23,13,81.99333333333333
05-23,14,75.67333333333333
05-23,15,74.72333333333334
05-23,16,82.84666666666666
05-23,17,96.37
05-23,18,125.94333333333334
05-23,19,129.4466666666667
05-23,20,146.94
05-23,21,159.02
05-23,22,146.91333333333333
05-23,23,136.01333333333332
05-23,24,127.28333333333335
05-24,1,138.14333333333335
05-24,2,115.14
05-24,3,107.23
05-24,4,101.15333333333332
05-24,5,101.19333333333334
05-24,6,114.08333333333333
05-24,7,137.93666666666667
05-24,8,149.73
05-24,9,142.56666666666666
05-24,10,130.9
05-24,11,117.85000000000001
05-24,12,109.5
05-24,13,104.76666666666667
05-24,14,96.67666666666666
05-24,15,93.64666666666666
05-24,16,100.32333333333334
05-24,17,107.39666666666666
05-24,18,113.40333333333335
05-24,19,138.71666666666667
05-24,20,157.45333333333335
05-24,21,160.95000000000002
05-24,22,161.51000000000002
05-24,23,145.40666666666667
05-24,24,130.81333333333333
05-25,1,129.23666666666665
05-25,2,120.23666666666668
05-25,3,114.24
05-25,4,114.85666666666667
05-25,5,111.99666666666667
05-25,6,116.08
05-25,7,134.33
05-25,8,144.06
05-25,9,135.75333333333333
05-25,10,117.48333333333333
05-25,11,91.22666666666667
05-25,12,58.446666666666665
05-25,13,61.343333333333334
05-25,14,43.04
05-25,15,12.773333333333332
05-25,16,33.29666666666667
05-25,17,42.99
05-25,18,86.14333333333333
05-25,19,112.44
05-25,20,127.98666666666666
05-25,21,150.57
05-25,22,150.67666666666665
05-25,23,131.86333333333334
05-25,24,115.01
05-26,1,115.74333333333334
05-26,2,106.50666666666666
05-26,3,105.64333333333333
05-26,4,106.8
05-26,5,110.90000000000002
05-26,6,113.82
05-26,7,111.49666666666667
05-26,8,113.14333333333333
05-26,9,74.38333333333334
05-26,10,44.940000000000005
05-26,11,13.5
05-26,12,1.3333333333333333
05-26,13,-3.2433333333333336
05-26,14,-18.69666666666667
05-26,15,-16.063333333333333
05-26,16,-7.773333333333333
05-26,17,-1.4966666666666668
05-26,18,36.50666666666667
05-26,19,94.02333333333333
05-26,20,103.8
05-26,21,125.70333333333333
05-26,22,123.45333333333333
05-26,23,111.12666666666667
05-26,24,96.94
05-27,1,106.60333333333334
05-27,2,83.42333333333333
05-27,3,87.54333333333334
05-27,4,100.70333333333333
05-27,5,106.20333333333333
05-27,6,108.27333333333333
05-27,7,104.39
05-27,8,110.71333333333332
05-27,9,84.69333333333333
05-27,10,63.71
05-27,11,33.126666666666665
05-27,12,26.25
05-27,13,-4.1533333333333315
05-27,14,-15.5
05-27,15,-7.903333333333336
05-27,16,-46.49333333333334
05-27,17,24.95
05-27,18,87.82666666666667
05-27,19,110.38
05-27,20,133.63666666666668
05-27,21,163.36333333333334
05-27,22,163.56666666666666
05-27,23,161.8166666666667
05-27,24,123.99000000000001
05-28,1,142.99
05-28,2,113.89999999999999
05-28,3,98.85333333333334
05-28,4,86.66333333333334
05-28,5,87.30666666666666
05-28,6,107.15666666666668
05-28,7,87.90666666666668
05-28,8,80.73666666666666
05-28,9,73.43
05-28,10,19.513333333333335
05-28,11,13.533333333333331
05-28,12,-8.016666666666666
05-28,13,-42.75666666666666
05-28,14,-91.30666666666667
05-28,15,-140.61
05-28,16,-58.48
05-28,17,-1.573333333333333
05-28,18,21.50333333333333
05-28,19,78.79666666666667
05-28,20,107.58666666666666
05-28,21,122.30666666666667
05-28,22,116.35000000000001
05-28,23,113.38
05-28,24,106.15333333333335
05-29,1,115.74333333333334
05-29,2,104.56666666666666
05-29,3,98.78666666666668
05-29,4,88.32333333333334
05-29,5,78.52666666666666
05-29,6,81.74333333333333
05-29,7,88.56666666666666
05-29,8,92.37666666666667
05-29,9,85.23666666666666
05-29,10,68.19
05-29,11,62.596666666666664
05-29,12,48.88333333333333
05-29,13,26.346666666666664
05-29,14,1.6300000000000072
05-29,15,-9.95666666666667
05-29,16,18.263333333333335
05-29,17,54.5
05-29,18,73.99333333333333
05-29,19,93.92333333333333
05-29,20,124.29666666666667
05-29,21,142.09
05-29,22,148.02
05-29,23,139.65
05-29,24,130.33
05-30,1,125.79
05-30,2,120.69
05-30,3,115.19333333333334
05-30,4,114.09666666666668
05-30,5,113.65999999999998
05-30,6,122.83666666666666
05-30,7,140.4466666666667
05-30,8,156.5533333333333
05-30,9,152.19666666666666
05-30,10,135.25333333333333
05-30,11,128.22333333333333
05-30,12,122.39999999999999
05-30,13,113.05666666666667
05-30,14,105.75999999999999
05-30,15,103.50333333333333
05-30,16,106.75
05-30,17,116.71666666666665
05-30,18,129.39
05-30,19,141.53666666666666
05-30,20,176.75
05-30,21,186.86333333333334
05-30,22,161.72666666666666
05-30,23,146.71666666666667
05-30,24,135.79666666666665
05-31,1,126.27666666666666
05-31,2,114.37666666666667
05-31,3,106.78000000000002
05-31,4,105.60333333333334
05-31,5,108.08666666666666
05-31,6,120.03333333333335
05-31,7,133.87333333333333
05-31,8,148.26000000000002
05-31,9,136.27333333333334
05-31,10,132.43666666666667
05-31,11,113.37333333333333
05-31,12,101.11
05-31,13,86.64666666666666
05-31,14,78.95666666666666
05-31,15,73.62666666666667
05-31,16,74.38333333333334
05-31,17,81.35333333333334
05-31,18,105.65666666666668
05-31,19,129.29
05-31,20,136.61333333333334
05-31,21,146.74333333333334
05-31,22,144.57666666666668
05-31,23,138.90666666666667
05-31,24,126.96666666666665
06-01,1,124.00333333333333
06-01,2,116.50666666666666
06-01,3,113.16333333333334
06-01,4,102.32333333333334
06-01,5,104.40333333333332
06-01,6,114.79
06-01,7,130.59666666666666
06-01,8,138.59
06-01,9,135.14333333333335
06-01,10,122.32333333333332
06-01,11,105.98666666666668
