MMDD,HH,2022,2023,2024,Average
0121,7,0.0,0.0,0.0,0.0
0121,8,2.0,2.0,1.0,1.6666666666666667
0121,9,27.0,8.0,10.0,15.0
0121,10,35.0,20.0,17.0,24.0
0121,11,48.0,35.0,19.0,34.0
0121,12,36.0,43.0,17.0,32.0
0121,13,22.0,62.0,18.0,34.0
0121,14,20.0,41.0,11.0,24.0
0121,15,6.0,22.0,9.0,12.333333333333334
0121,16,4.0,5.0,6.0,5.0
0121,17,1.0,1.0,0.0,0.6666666666666666
0121,18,0.0,0.0,0.0,0.0
0121,19,0.0,0.0,0.0,0.0
0121,20,0.0,0.0,0.0,0.0
0121,21,0.0,0.0,0.0,0.0
0121,22,0.0,0.0,0.0,0.0
0121,23,0.0,0.0,0.0,0.0
0121,24,0.0,0.0,0.0,0.0
0122,1,0.0,0.0,0.0,0.0
0122,2,0.0,0.0,0.0,0.0
0122,3,0.0,0.0,0.0,0.0
0122,4,0.0,0.0,0.0,0.0
0122,5,0.0,0.0,0.0,0.0
0122,6,0.0,0.0,0.0,0.0
0122,7,0.0,0.0,0.0,0.0
0122,8,1.0,1.0,0.0,0.6666666666666666
0122,9,6.0,7.0,4.0,5.666666666666667
0122,10,10.0,31.0,9.0,16.666666666666668
0122,11,13.0,35.0,60.0,36.0
0122,12,17.0,41.0,95.0,51.0
0122,13,21.0,38.0,88.0,49.0
0122,14,16.0,31.0,70.0,39.0
0122,15,10.0,17.0,44.0,23.666666666666668
0122,16,5.0,5.0,12.0,7.333333333333333
0122,17,1.0,0.0,0.0,0.3333333333333333
0122,18,0.0,0.0,0.0,0.0
0122,19,0.0,0.0,0.0,0.0
0122,20,0.0,0.0,0.0,0.0
0122,21,0.0,0.0,0.0,0.0
0122,22,0.0,0.0,0.0,0.0
0122,23,0.0,0.0,0.0,0.0
0122,24,0.0,0.0,0.0,0.0
0123,1,0.0,0.0,0.0,0.0
0123,2,0.0,0.0,0.0,0.0
0123,3,0.0,0.0,0.0,0.0
0123,4,0.0,0.0,0.0,0.0
0123,5,0.0,0.0,0.0,0.0
0123,6,0.0,0.0,0.0,0.0
0123,7,0.0,0.0,0.0,0.0
0123,8,1.0,2.0,1.0,1.3333333333333333
0123,9,9.0,12.0,25.0,15.333333333333334
0123,10,18.0,29.0,56.0,34.333333333333336
0123,11,25.0,53.0,80.0,52.666666666666664
0123,12,37.0,79.0,74.0,63.333333333333336
0123,13,35.0,64.0,77.0,58.666666666666664
0123,14,26.0,40.0,16.0,27.333333333333332
0123,15,14.0,17.0,8.0,13.0
0123,16,4.0,4.0,2.0,3.3333333333333335
0123,17,1.0,0.0,0.0,0.3333333333333333
0123,18,0.0,0.0,0.0,0.0
0123,19,0.0,0.0,0.0,0.0
0123,20,0.0,0.0,0.0,0.0
0123,21,0.0,0.0,0.0,0.0
0123,22,0.0,0.0,0.0,0.0
0123,23,0.0,0.0,0.0,0.0
0123,24,0.0,0.0,0.0,0.0
0124,1,0.0,0.0,0.0,0.0
0124,2,0.0,0.0,0.0,0.0
0124,3,0.0,0.0,0.0,0.0
